epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.78,1.02765,3.23461,1.15311,0.79321,0.11756,0.14807,0.11928,0.75085,1.24666,1.11215,0.00332602,0.00332602,0.00332602
2,241.259,0.8511,1.29824,1.0589,0.69831,0.27908,0.29796,0.24087,0.76332,0.84383,1.0088,0.00665716,0.00665716,0.00665716
3,354.419,0.84007,1.06068,1.04112,0.76467,0.37311,0.38927,0.31798,0.7307,0.74343,1.02419,0.00998609,0.00998609,0.00998609
4,467.075,0.80513,0.95338,1.02866,0.72628,0.46248,0.47472,0.39742,0.60255,0.61223,0.95933,0.0099901,0.0099901,0.0099901
5,579.499,0.74337,0.8502,1.00619,0.80411,0.48843,0.54585,0.45858,0.58642,0.54802,0.96261,0.0099868,0.0099868,0.0099868
6,692.666,0.70669,0.79205,0.99765,0.87604,0.49505,0.56955,0.47987,0.56799,0.51172,0.95552,0.0099835,0.0099835,0.0099835
7,805.442,0.67986,0.74777,0.98873,0.84645,0.52777,0.59775,0.51044,0.53484,0.46337,0.94901,0.0099802,0.0099802,0.0099802
8,922.348,0.66353,0.70393,0.98233,0.8457,0.56064,0.63875,0.54502,0.51586,0.44607,0.93827,0.0099769,0.0099769,0.0099769
9,109.772,0.65038,0.68285,0.97769,0.8503,0.60539,0.69924,0.59307,0.53418,0.41474,0.94154,0.0099736,0.0099736,0.0099736
10,219.693,0.63786,0.65368,0.9782,0.85879,0.60351,0.71763,0.6117,0.51916,0.41586,0.9461,0.0099703,0.0099703,0.0099703
11,329.616,0.6222,0.6269,0.97162,0.81377,0.63736,0.73843,0.62976,0.4989,0.37885,0.93775,0.009967,0.009967,0.009967
12,439.408,0.62041,0.60517,0.97207,0.78888,0.70611,0.77041,0.65754,0.49312,0.38324,0.93715,0.0099637,0.0099637,0.0099637
13,549.137,0.60718,0.58225,0.96429,0.89506,0.64189,0.79332,0.67973,0.50827,0.36901,0.93532,0.0099604,0.0099604,0.0099604
14,659.04,0.60255,0.57508,0.96533,0.77685,0.73995,0.81044,0.68528,0.51006,0.35567,0.94433,0.0099571,0.0099571,0.0099571
15,768.949,0.5983,0.55667,0.96182,0.82517,0.70629,0.81133,0.69586,0.46869,0.32913,0.92811,0.0099538,0.0099538,0.0099538
16,878.776,0.59153,0.53897,0.961,0.80235,0.73258,0.78109,0.66513,0.48138,0.33188,0.92721,0.0099505,0.0099505,0.0099505
17,988.651,0.5911,0.53384,0.9612,0.8714,0.68625,0.81882,0.69364,0.49314,0.32918,0.93265,0.0099472,0.0099472,0.0099472
18,1098.63,0.58751,0.52726,0.96152,0.84925,0.7155,0.82782,0.69965,0.47697,0.32421,0.92548,0.0099439,0.0099439,0.0099439
19,1208.48,0.58508,0.52169,0.9602,0.78229,0.77918,0.84685,0.71935,0.46645,0.31734,0.91983,0.0099406,0.0099406,0.0099406
20,1318.26,0.57728,0.50682,0.95393,0.88145,0.71388,0.83348,0.70423,0.4828,0.31483,0.92696,0.0099373,0.0099373,0.0099373
21,1428.16,0.58374,0.506,0.96467,0.87928,0.7566,0.84228,0.71806,0.46859,0.31157,0.92217,0.009934,0.009934,0.009934
